sales_date,sep_region,category,product,dealer_code,sales_agent_code,payment_method,type_of_contract,total_price,deposit_amount,payment_frequency,daily_rate,qty
2025-03-13,West,Motorola Moto G73,Motorola Moto G73,536461,4451,EMI,Postpaid,2223.983482,222.3983482,Monthly,74.13278275,177
2025-03-13,West,Nokia G22,Nokia G22,536461,2729,Debit Card,Prepaid,885.6278552,88.56278552,One-time,885.6278552,56
2025-03-13,South,OnePlus 11,OnePlus 11,713067,8067,Credit Card,Postpaid,5946.667327,594.6667327,One-time,5946.667327,125
2025-03-13,South,Realme GT3,Realme GT3,713067,9179,UPI,Prepaid,4116.810374,411.6810374,One-time,4116.810374,107
2025-03-13,West,Oppo Find X6,Oppo Find X6,713067,7638,Credit Card,Prepaid,6014.955112,601.4955112,Monthly,200.4985037,111
2025-03-13,East,Motorola Moto G73,Motorola Moto G73,713067,5947,Cash,Prepaid,848.0263667,84.80263667,One-time,848.0263667,83
2025-03-13,East,Oppo Find X6,Oppo Find X6,856119,6644,Cash,Postpaid,2286.61696,228.661696,Monthly,76.22056534,110
2025-03-13,East,Vivo X90,Vivo X90,734058,5387,Credit Card,Postpaid,5161.097634,516.1097634,Monthly,172.0365878,115
2025-03-13,West,Realme GT3,Realme GT3,569233,6718,Credit Card,Prepaid,2137.228388,213.7228388,Monthly,71.24094626,131
2025-03-13,North,Oppo Find X6,Oppo Find X6,634815,7286,UPI,Prepaid,1926.951148,192.6951148,One-time,1926.951148,169
2025-03-13,East,Xiaomi 13,Xiaomi 13,634815,5723,Cash,Postpaid,3883.799422,388.3799422,Monthly,129.4599807,116
2025-03-13,North,Realme GT3,Realme GT3,326478,5387,Credit Card,Postpaid,10583.28266,1058.328266,One-time,10583.28266,188
2025-03-13,East,Xiaomi 13,Xiaomi 13,326478,3910,UPI,Postpaid,967.4534106,96.74534106,One-time,967.4534106,137
2025-03-13,East,OnePlus 11,OnePlus 11,326478,9128,EMI,Postpaid,2178.253454,217.8253454,Monthly,72.60844848,66
2025-03-13,East,Samsung Galaxy S23,Samsung Galaxy S23,326478,6408,UPI,Postpaid,4795.180153,479.5180153,Monthly,159.8393384,166
2025-03-13,South,Vivo X90,Vivo X90,265611,4451,EMI,Postpaid,8017.959922,801.7959922,Monthly,267.2653307,164
2025-03-13,West,Nokia G22,Nokia G22,265611,7907,Credit Card,Prepaid,2471.384134,247.1384134,Monthly,82.37947113,81
2025-03-13,West,iPhone 15,iPhone 15,553991,2738,UPI,Postpaid,1944.724959,194.4724959,One-time,1944.724959,60
2025-03-13,North,Samsung Galaxy S23,Samsung Galaxy S23,553991,5379,Cash,Prepaid,657.6499901,65.76499901,Monthly,21.92166634,178
2025-03-13,South,Nokia G22,Nokia G22,553991,6670,Debit Card,Prepaid,867.1755468,86.71755468,One-time,867.1755468,85
2025-03-13,West,Google Pixel 7,Google Pixel 7,785286,8970,Credit Card,Postpaid,602.5603664,60.25603664,One-time,602.5603664,151
2025-03-13,East,Realme GT3,Realme GT3,785286,7907,Cash,Postpaid,6277.489534,627.7489534,Monthly,209.2496511,170
2025-03-13,South,Vivo X90,Vivo X90,785286,2816,Cash,Prepaid,5408.248311,540.8248311,Monthly,180.2749437,102
2025-03-13,South,Google Pixel 7,Google Pixel 7,283375,3182,Debit Card,Prepaid,5845.881943,584.5881943,One-time,5845.881943,85
2025-03-13,East,Realme GT3,Realme GT3,491200,3182,Credit Card,Prepaid,8017.518419,801.7518419,One-time,8017.518419,153
2025-03-13,East,Oppo Find X6,Oppo Find X6,491200,3368,Cash,Prepaid,2757.646629,275.7646629,Monthly,91.92155428,76
2025-03-13,East,Xiaomi 13,Xiaomi 13,491200,7907,Credit Card,Prepaid,5940.748994,594.0748994,Monthly,198.0249665,190
2025-03-13,North,Samsung Galaxy S23,Samsung Galaxy S23,971045,1357,Cash,Postpaid,3434.938186,343.4938186,Monthly,114.4979395,136
2025-03-13,East,Motorola Moto G73,Motorola Moto G73,772749,1196,Credit Card,Prepaid,3419.879907,341.9879907,Monthly,113.9959969,62
2025-03-13,South,Realme GT3,Realme GT3,772749,5379,Cash,Prepaid,3172.42018,317.242018,One-time,3172.42018,77
2025-03-13,East,Google Pixel 7,Google Pixel 7,772749,4572,EMI,Postpaid,3876.398787,387.6398787,One-time,3876.398787,69
2025-03-13,East,OnePlus 11,OnePlus 11,772749,5947,Credit Card,Prepaid,2904.442117,290.4442117,Monthly,96.81473723,95
2025-03-13,North,Samsung Galaxy S23,Samsung Galaxy S23,439155,9128,Cash,Postpaid,4635.781095,463.5781095,Monthly,154.5260365,64
2025-03-13,East,Google Pixel 7,Google Pixel 7,439155,4572,EMI,Prepaid,4396.855575,439.6855575,Monthly,146.5618525,120
2025-03-13,North,Nokia G22,Nokia G22,439155,1196,Cash,Prepaid,3073.274792,307.3274792,Monthly,102.4424931,127
2025-03-13,South,iPhone 15,iPhone 15,439155,5723,Cash,Prepaid,1116.935495,111.6935495,Monthly,37.23118317,165
2025-03-13,East,Google Pixel 7,Google Pixel 7,223473,8282,Debit Card,Prepaid,3110.823228,311.0823228,Monthly,103.6941076,163
2025-03-13,North,Nokia G22,Nokia G22,330985,8970,Credit Card,Postpaid,949.5570567,94.95570567,One-time,949.5570567,110
2025-03-13,North,Motorola Moto G73,Motorola Moto G73,330985,1196,Debit Card,Prepaid,1869.379153,186.9379153,Monthly,62.31263844,106
2025-03-13,South,iPhone 15,iPhone 15,330985,1714,EMI,Postpaid,4252.930149,425.2930149,Monthly,141.7643383,136
2025-03-13,West,Samsung Galaxy S23,Samsung Galaxy S23,330985,3368,Credit Card,Prepaid,6231.986518,623.1986518,Monthly,207.7328839,87
2025-03-13,North,Google Pixel 7,Google Pixel 7,646552,7286,EMI,Postpaid,6953.829168,695.3829168,Monthly,231.7943056,149
2025-03-13,West,Vivo X90,Vivo X90,198206,5115,UPI,Postpaid,2091.988607,209.1988607,One-time,2091.988607,137
2025-03-13,North,Motorola Moto G73,Motorola Moto G73,593879,6289,Debit Card,Prepaid,653.783927,65.3783927,One-time,653.783927,87
